id,x,y,reference_temperature,operator_temperature,valid
BE04,-1.0,-1.0,-8.86685217025818e-17,1.3908167803771434e-17,True
BE04,-0.9833333333333333,-1.0,0.00539570564566152,0.005414373636423464,True
BE04,-0.9666666666666667,-1.0,0.01079659125036872,0.010828747272846776,True
BE04,-0.95,-1.0,0.01620769409674457,0.016243120909270266,True
BE04,-0.9333333333333333,-1.0,0.021634088088301716,0.021657494545693635,True
BE04,-0.9166666666666666,-1.0,0.02708089945783878,0.027112412110141353,True
BE04,-0.9,-1.0,0.03255332397489559,0.03263561305968915,True
BE04,-0.8833333333333333,-1.0,0.03805766871858097,0.038158814009236916,True
BE04,-0.8666666666666667,-1.0,0.043598852539621806,0.04368201495878464,True
BE04,-0.85,-1.0,0.04918219212990813,0.04920521590833239,True
BE04,-0.8333333333333334,-1.0,0.05481334298950896,0.05489426184253931,True
BE04,-0.8166666666666667,-1.0,0.0604981137747878,0.06064203491236474,True
BE04,-0.8,-1.0,0.06624248098628432,0.0663898079821902,True
BE04,-0.7833333333333333,-1.0,0.07205418014764797,0.07213758105201558,True
BE04,-0.7666666666666666,-1.0,0.07793926028666445,0.07793136666628914,True
BE04,-0.75,-1.0,0.08390344277308245,0.08402842122949886,True
BE04,-0.7333333333333334,-1.0,0.08995351177359612,0.0901254757927086,True
BE04,-0.7166666666666667,-1.0,0.09609646598754393,0.09622253035591838,True
BE04,-0.7,-1.0,0.10233951750091318,0.10231958491912818,True
BE04,-0.6833333333333333,-1.0,0.10869186558984176,0.10872442557663317,True
BE04,-0.6666666666666667,-1.0,0.11516193493723112,0.11531578372269015,True
BE04,-0.65,-1.0,0.1217554364213065,0.12190714186874722,True
BE04,-0.6333333333333333,-1.0,0.12848030600047577,0.12849850001480428,True
BE04,-0.6166666666666667,-1.0,0.1353445727510848,0.135106419577982,True
BE04,-0.6,-1.0,0.14235630076709493,0.14235753266125695,True
BE04,-0.5833333333333333,-1.0,0.14952499235142128,0.1496086457445318,True
BE04,-0.5666666666666667,-1.0,0.1568616005956891,0.15685975882780664,True
BE04,-0.55,-1.0,0.16436973554810858,0.16411087191108145,True
BE04,-0.5333333333333333,-1.0,0.17205665658768785,0.1717156165893854,True
BE04,-0.5166666666666666,-1.0,0.17992910062887915,0.17978136595102265,True
BE04,-0.5,-1.0,0.18799312266794876,0.1878471153126598,True
BE04,-0.4833333333333334,-1.0,0.19625444350287713,0.19591286467429683,True
BE04,-0.4666666666666667,-1.0,0.20472329683602813,0.20397861403593406,True
BE04,-0.44999999999999996,-1.0,0.2133961736061376,0.2128147362987404,True
BE04,-0.43333333333333335,-1.0,0.22227453811271036,0.22179854497148604,True
BE04,-0.41666666666666663,-1.0,0.23135834047606843,0.23078235364423186,True
BE04,-0.4,-1.0,0.24064592180935268,0.2397661623169775,True
BE04,-0.3833333333333333,-1.0,0.25013396756317013,0.24894613453549583,True
BE04,-0.3666666666666667,-1.0,0.2598233610240666,0.25884958249766077,True
BE04,-0.35,-1.0,0.269701950605622,0.2687530304598259,True
