id,x,y,reference_temperature,operator_temperature,valid
BH22,-1.0,-1.0,-4.635797350046024e-17,-3.1643392193331556e-17,True
BH22,-0.9833333333333333,-1.0,0.007759686452295168,0.0077818429212533746,True
BH22,-0.9666666666666667,-1.0,0.015522233663019958,0.01556368584250659,True
BH22,-0.95,-1.0,0.02329047598155194,0.02334552876375998,True
BH22,-0.9333333333333333,-1.0,0.031067703073662148,0.031127371685013182,True
BH22,-0.9166666666666666,-1.0,0.038855675114745865,0.038909214606266555,True
BH22,-0.9,-1.0,0.046658591383771576,0.04674863477803752,True
BH22,-0.8833333333333333,-1.0,0.05447795663799711,0.05460547698256514,True
BH22,-0.8666666666666667,-1.0,0.062315942210385875,0.06246231918709295,True
BH22,-0.85,-1.0,0.07017700866796561,0.07031916139162066,True
BH22,-0.8333333333333334,-1.0,0.0780606647310235,0.07817600359614832,True
BH22,-0.8166666666666667,-1.0,0.08597096818156238,0.08610277307602718,True
BH22,-0.8,-1.0,0.09390930950229469,0.09409672220368487,True
BH22,-0.7833333333333333,-1.0,0.10187540294914627,0.10209067133134272,True
BH22,-0.7666666666666666,-1.0,0.10987505584489321,0.1100846204590005,True
BH22,-0.75,-1.0,0.11790512793878419,0.11807856958665819,True
BH22,-0.7333333333333334,-1.0,0.1259680464235334,0.12610941803850279,True
BH22,-0.7166666666666667,-1.0,0.13406577397353814,0.1342749151439277,True
BH22,-0.7,-1.0,0.14219549706716497,0.1424404122493527,True
BH22,-0.6833333333333333,-1.0,0.150361026276033,0.15060590935477758,True
BH22,-0.6666666666666667,-1.0,0.1585595245842026,0.1587714064602025,True
BH22,-0.65,-1.0,0.1667900100822631,0.1669369035656275,True
BH22,-0.6333333333333333,-1.0,0.1750550810573181,0.17524788356908105,True
BH22,-0.6166666666666667,-1.0,0.1833496702718861,0.1835797086158874,True
BH22,-0.6,-1.0,0.19167463523404377,0.19191153366269376,True
BH22,-0.5833333333333333,-1.0,0.20002853251693697,0.2002433587095001,True
BH22,-0.5666666666666667,-1.0,0.20840769892746688,0.2085751837563065,True
BH22,-0.55,-1.0,0.21681319227302653,0.2169708365563036,True
BH22,-0.5333333333333333,-1.0,0.22524081630824627,0.22542766516370294,True
BH22,-0.5166666666666666,-1.0,0.23368874808742784,0.23388449377110224,True
BH22,-0.5,-1.0,0.24215648653204563,0.24234132237850153,True
BH22,-0.4833333333333334,-1.0,0.25063981033417987,0.25079815098590075,True
BH22,-0.4666666666666667,-1.0,0.25913882977176755,0.25926292181948557,True
BH22,-0.44999999999999996,-1.0,0.2676502726629937,0.2677912255973467,True
BH22,-0.43333333333333335,-1.0,0.27617295414707943,0.27631952937520776,True
BH22,-0.41666666666666663,-1.0,0.28470562861208676,0.28484783315306883,True
BH22,-0.4,-1.0,0.2932461611688149,0.29337613693092995,True
BH22,-0.3833333333333333,-1.0,0.30179469724961877,0.301904440708791,True
BH22,-0.3666666666666667,-1.0,0.3103491700059549,0.31045796873157416,True
BH22,-0.35,-1.0,0.3189095961778565,0.3190219813254053,True
BH22,-0.33333333333333337,-1.0,0.327475287696104,0.3275859939192364,True
BH22,-0.31666666666666665,-1.0,0.336045875769051,0.33615000651306753,True
BH22,-0.30000000000000004,-1.0,0.34462174950720004,0.34471401910689864,True
BH22,-0.2833333333333333,-1.0,0.35320233809367335,0.353286437870975,True
BH22,-0.2666666666666667,-1.0,0.36178855684171773,0.36187939475091274,True
BH22,-0.25,-1.0,0.3703801244835382,0.37047235163085057,True
BH22,-0.2333333333333334,-1.0,0.3789775829958137,0.37906530851078835,True
BH22,-0.21666666666666667,-1.0,0.38758147672476756,0.38765826539072623,True
BH22,-0.19999999999999996,-1.0,0.3961914930529354,0.39625122227066406,True
BH22,-0.18333333333333335,-1.0,0.40480900031849737,0.4048759915364737,True
BH22,-0.16666666666666663,-1.0,0.4134330697163656,0.41350405798046264,True
BH22,-0.15000000000000002,-1.0,0.42206439649701655,0.42213212442445147,True
BH22,-0.1333333333333333,-1.0,0.4307027477641015,0.4307601908684404,True
BH22,-0.1166666666666667,-1.0,0.4393475829488066,0.43938825731242925,True
BH22,-0.09999999999999998,-1.0,0.4479992680955476,0.4480356332243651,True
BH22,-0.08333333333333337,-1.0,0.45665639064432434,0.45669430644102227,True
BH22,-0.06666666666666665,-1.0,0.4653189156541627,0.4653529796576794,True
BH22,-0.050000000000000044,-1.0,0.4739856157005561,0.47401165287433655,True
BH22,-0.033333333333333326,-1.0,0.48265561378463007,0.4826703260909937,True
BH22,-0.01666666666666672,-1.0,0.4913279784344385,0.49133179133872623,True
BH22,0.0,-1.0,0.5000014269508714,0.49999816043356005,True
BH22,0.016666666666666607,-1.0,0.5086748494376464,0.5086645295283939,True
BH22,0.033333333333333215,-1.0,0.5173470624371331,0.5173308986232276,True
BH22,0.050000000000000044,-1.0,0.5260170343584554,0.5259972677180615,True
BH22,0.06666666666666665,-1.0,0.5346837843168566,0.5346615573448972,True
BH22,0.08333333333333326,-1.0,0.5433463713866123,0.5433073569812024,True
BH22,0.10000000000000009,-1.0,0.5520032900448659,0.5519531566175078,True
BH22,0.1166666666666667,-1.0,0.5606544761031008,0.560598956253813,True
BH22,0.1333333333333333,-1.0,0.5692994293901162,0.5692447558901182,True
BH22,0.1499999999999999,-1.0,0.577937789756584,0.5778905555264234,True
BH22,0.16666666666666674,-1.0,0.5865693365869337,0.5865072126616356,True
BH22,0.18333333333333335,-1.0,0.5951931335600652,0.595118467922512,True
BH22,0.19999999999999996,-1.0,0.6038099913797346,0.6037297231833882,True
BH22,0.21666666666666656,-1.0,0.6124201899306141,0.6123409784442647,True
BH22,0.2333333333333334,-1.0,0.62102397778373,0.6209522337051412,True
BH22,0.25,-1.0,0.6296216554879043,0.6295418064897714,True
BH22,0.2666666666666666,-1.0,0.638213010120766,0.6381218213696541,True
BH22,0.2833333333333332,-1.0,0.6467987394902347,0.6467018362495369,True
BH22,0.30000000000000004,-1.0,0.655379337797658,0.6552818511294196,True
BH22,0.31666666666666665,-1.0,0.6639549914051668,0.6638618660093025,True
BH22,0.33333333333333326,-1.0,0.6725257815037218,0.6724273248776669,True
BH22,0.3500000000000001,-1.0,0.68109132347551,0.6809801301659963,True
BH22,0.3666666666666667,-1.0,0.6896513081460088,0.6895329354543257,True
BH22,0.3833333333333333,-1.0,0.6982056587038292,0.6980857407426552,True
BH22,0.3999999999999999,-1.0,0.70675375218882,0.7066385460309846,True
BH22,0.41666666666666674,-1.0,0.7152947715880389,0.7151751359181654,True
BH22,0.43333333333333335,-1.0,0.7238274213559146,0.7236854261315988,True
BH22,0.44999999999999996,-1.0,0.7323495672923285,0.7321957163450321,True
BH22,0.46666666666666656,-1.0,0.7408606951622103,0.7407060065584656,True
BH22,0.4833333333333334,-1.0,0.749359282914533,0.7492162967718994,True
BH22,0.5,-1.0,0.75784369131362,0.7577061294648739,True
BH22,0.5166666666666666,-1.0,0.7663103776998983,0.7661338560658426,True
BH22,0.5333333333333332,-1.0,0.7747590973229284,0.7745615826668111,True
BH22,0.55,-1.0,0.783186457039904,0.7829893092677798,True
BH22,0.5666666666666667,-1.0,0.7915922310163762,0.7914170358687482,True
BH22,0.5833333333333333,-1.0,0.7999712996701275,0.7998275813673013,True
BH22,0.6000000000000001,-1.0,0.8083247969191925,0.8081242442456893,True
BH22,0.6166666666666667,-1.0,0.8166507303076963,0.8164209071240772,True
BH22,0.6333333333333333,-1.0,0.824944793925412,0.8247175700024654,True
BH22,0.6499999999999999,-1.0,0.8332088828993378,0.8330142328808533,True
BH22,0.6666666666666667,-1.0,0.841441311141626,0.8413043394363087,True
BH22,0.6833333333333333,-1.0,0.8496386383478434,0.8494381115937935,True
BH22,0.7,-1.0,0.8578037168535857,0.8575718837512784,True
BH22,0.7166666666666666,-1.0,0.8659351478788516,0.8657056559087631,True
BH22,0.7333333333333334,-1.0,0.8740310646518502,0.8738394280662479,True
BH22,0.75,-1.0,0.882094894330304,0.881973200223733,True
BH22,0.7666666666666666,-1.0,0.890125548428738,0.8899541676535246,True
BH22,0.7833333333333332,-1.0,0.8981231182677951,0.8979273351805874,True
BH22,0.8,-1.0,0.9060911700899879,0.9059005027076501,True
BH22,0.8166666666666667,-1.0,0.9140290769927302,0.9138736702347126,True
BH22,0.8333333333333333,-1.0,0.9219387257030305,0.9218468377617753,True
BH22,0.8499999999999999,-1.0,0.9298235465394544,0.929702094662606,True
BH22,0.8666666666666667,-1.0,0.937683539835763,0.9375502275816128,True
BH22,0.8833333333333333,-1.0,0.9455218981292779,0.9453983605006195,True
BH22,0.8999999999999999,-1.0,0.9533417706536057,0.9532464934196264,True
BH22,0.9166666666666667,-1.0,0.9611439577882134,0.9610946263386334,True
BH22,0.9333333333333333,-1.0,0.968932296416211,0.9688781430329071,True
BH22,0.95,-1.0,0.9767096229605869,0.9766586072746802,True
BH22,0.9666666666666666,-1.0,0.9844777128423191,0.9844390715164535,True
BH22,0.9833333333333334,-1.0,0.9922403105681716,0.9922195357582269,True
BH22,1.0,-1.0,1.0,0.9999999999999999,True
BH22,-1.0,-0.9833333333333333,3.279650780648017e-17,1.8069056842282497e-17,True
BH22,-0.9833333333333333,-0.9833333333333333,0.007758097453544338,0.007776260445639777,True
BH22,-0.9666666666666667,-0.9833333333333333,0.01551906213542014,0.015552529223024353,True
BH22,-0.95,-0.9833333333333333,0.02328574883899886,0.023328806313515138,True
BH22,-0.9333333333333333,-0.9833333333333333,0.03106143759796832,0.031105091698529378,True
BH22,-0.9166666666666666,-0.9833333333333333,0.038847895941604815,0.03888138535953946,True
BH22,-0.9,-0.9833333333333333,0.04664939650763281,0.04671584892404966,True
BH22,-0.8833333333333333,-0.9833333333333333,0.054467351081584806,0.05456793736192517,True
BH22,-0.8666666666666667,-0.9833333333333333,0.06230407329000376,0.06242005075425944,True
BH22,-0.85,-0.9833333333333333,0.07016387746014012,0.07027218890505352,True
BH22,-0.8333333333333334,-0.9833333333333333,0.07804633863101715,0.07812435162035587,True
BH22,-0.8166666666666667,-0.9833333333333333,0.08595570647460059,0.08604748447306802,True
BH22,-0.8,-0.9833333333333333,0.09389306862754583,0.09403866095052234,True
BH22,-0.7833333333333333,-0.9833333333333333,0.10185837295697117,0.10202985389315064,True
BH22,-0.7666666666666666,-0.9833333333333333,0.10985743009897771,0.11002106315469845,True
BH22,-0.75,-0.9833333333333333,0.11788689776671091,0.11801228859063885,True
BH22,-0.7333333333333334,-0.9833333333333333,0.12594963838163464,0.12604128323252864,True
BH22,-0.7166666666666667,-0.9833333333333333,0.1340470728682433,0.13420698169625855,True
BH22,-0.7,-0.9833333333333333,0.14217664581072614,0.14237267920720204,True
BH22,-0.6833333333333333,-0.9833333333333333,0.15034252330271777,0.1505383757721112,True
BH22,-0.6666666666666667,-0.9833333333333333,0.15854121127862558,0.15870407139767462,True
BH22,-0.65,-0.9833333333333333,0.16677237042175005,0.16686976609051762,True
BH22,-0.6333333333333333,-0.9833333333333333,0.17503795480492265,0.1751843433555617,True
BH22,-0.6166666666666667,-0.9833333333333333,0.1833332154442263,0.1835191371637494,True
BH22,-0.6,-0.9833333333333333,0.1916592219291931,0.19185391501996346,True
BH22,-0.5833333333333333,-0.9833333333333333,0.20001402696898316,0.20018867705248888,True
BH22,-0.5666666666666667,-0.9833333333333333,0.20839421214566017,0.20852342338823818,True
BH22,-0.55,-0.9833333333333333,0.2168008958324705,0.21692358688966346,True
BH22,-0.5333333333333333,-0.9833333333333333,0.22522961265296776,0.22538443224234417,True
BH22,-0.5166666666666666,-0.9833333333333333,0.23367871664910855,0.23384525220377114,True
BH22,-0.5,-0.9833333333333333,0.24214752584412957,0.24230604701410727,True
BH22,-0.4833333333333334,-0.9833333333333333,0.25063188131560477,0.2507668169104943,True
BH22,-0.4666666666666667,-0.9833333333333333,0.2591319260017262,0.2592361937725805,True
BH22,-0.44999999999999996,-0.9833333333333333,0.26764425728407026,0.2677671532864343,True
BH22,-0.43333333333333335,-0.9833333333333333,0.27616778934268205,0.2762980926863883,True
BH22,-0.41666666666666663,-0.9833333333333333,0.28470114834332183,0.28482901220018364,True
BH22,-0.4,-0.9833333333333333,0.29324230933655276,0.29335991205213463,True
BH22,-0.3833333333333333,-0.9833333333333333,0.3017912928294948,0.3018907924631933,True
BH22,-0.3666666666666667,-0.9833333333333333,0.3103461039732831,0.3104457015321349,True
BH22,-0.35,-0.9833333333333333,0.31890679212222595,0.31900993716798076,True
BH22,-0.33333333333333337,-0.9833333333333333,0.3274725953706154,0.32757417113112086,True
BH22,-0.31666666666666665,-0.9833333333333333,0.3360432455431878,0.33613840344029255,True
BH22,-0.30000000000000004,-0.9833333333333333,0.3446190499503802,0.3447026341139546,True
BH22,-0.2833333333333333,-0.9833333333333333,0.35319950569798453,0.3532752389954659,True
BH22,-0.2666666666666667,-0.9833333333333333,0.36178559469461663,0.36186722015207645,True
BH22,-0.25,-0.9833333333333333,0.37037695460947867,0.37045921026180767,True
BH22,-0.2333333333333334,-0.9833333333333333,0.37897425384933225,0.3790512092020503,True
BH22,-0.21666666666666667,-0.9833333333333333,0.3875779473385681,0.38764321685242276,True
BH22,-0.19999999999999996,-0.9833333333333333,0.3961878372871821,0.3962352330947204,True
BH22,-0.18333333333333335,-0.9833333333333333,0.40480523736315255,0.4048603519279991,True
BH22,-0.16666666666666663,-0.9833333333333333,0.4134292525762272,0.4134885439126035,True
BH22,-0.15000000000000002,-0.9833333333333333,0.4220606452657533,0.422116734726144,True
BH22,-0.1333333333333333,-0.9833333333333333,0.4306991035209493,0.4307449243848986,True
BH22,-0.1166666666666667,-0.9833333333333333,0.4393441623684391,0.4393731129048453,True
BH22,-0.09999999999999998,-0.9833333333333333,0.44799613262028615,0.44802184656698485,True
BH22,-0.08333333333333337,-0.9833333333333333,0.45665362380259306,0.45668266263090657,True
BH22,-0.06666666666666665,-0.9833333333333333,0.4653166110232537,0.46534345844525266,True
BH22,-0.050000000000000044,-0.9833333333333333,0.4739838247087358,0.47400423429591476,True
BH22,-0.033333333333333326,-0.9833333333333333,0.4826543930211945,0.48266499046342454,True
BH22,-0.01666666666666672,-0.9833333333333333,0.49132736057744186,0.4913288434309277,True
BH22,0.0,-0.9833333333333333,0.5000014329797354,0.49999808757778014,True
BH22,0.016666666666666607,-0.9833333333333333,0.5086754757234035,0.5086673024770959,True
BH22,0.033333333333333215,-0.9833333333333333,0.5173482887324025,0.5173364885738849,True
BH22,0.050000000000000044,-0.9833333333333333,0.5260188298620111,0.526005646304155,True
BH22,0.06666666666666665,-0.9833333333333333,0.5346860999793356,0.5346722794377878,True
BH22,0.08333333333333326,-0.9833333333333333,0.5433491301886917,0.5433196872298678,True
BH22,0.10000000000000009,-0.9833333333333333,0.5520064224952336,0.5519670753531704,True
BH22,0.1166666666666667,-0.9833333333333333,0.5606579028685521,0.5606144441660852,True
BH22,0.1333333333333333,-0.9833333333333333,0.569303068106952,0.5692617940183538,True
BH22,0.1499999999999999,-0.9833333333333333,0.5779415582218352,0.5779091252513283,True
BH22,0.16666666666666674,-0.9833333333333333,0.5865731559975902,0.586525297180263,True
BH22,0.18333333333333335,-0.9833333333333333,0.595196882934897,0.5951361397208309,True
BH22,0.19999999999999996,-0.9833333333333333,0.6038136490494709,0.6037469885945557,True
BH22,0.21666666666666656,-0.9833333333333333,0.61242370958185,0.612357843656923,True
BH22,0.2333333333333334,-0.9833333333333333,0.6210273281442354,0.620968704767778,True
BH22,0.25,-0.9833333333333333,0.6296248219867352,0.6295574830768513,True
BH22,0.2666666666666666,-0.9833333333333333,0.6382159567032835,0.638136751286493,True
BH22,0.2833333333333332,-0.9833333333333333,0.6468015359607062,0.6467160307071163,True
BH22,0.30000000000000004,-0.9833333333333333,0.655382028767693,0.6552953210882916,True
BH22,0.31666666666666665,-0.9833333333333333,0.6639576387690147,0.6638746221869875,True
BH22,0.33333333333333326,-0.9833333333333333,0.6725284631294286,0.6724405997607927,True
BH22,0.3500000000000001,-0.9833333333333333,0.6810941101942254,0.68099501604861,True
BH22,0.3666666666666667,-0.9833333333333333,0.6896543407810938,0.6895494121552016,True
BH22,0.3833333333333333,-0.9833333333333333,0.698209049608152,0.6981037884571066,True
BH22,0.3999999999999999,-0.9833333333333333,0.7067576175108765,0.7066581453215626,True
BH22,0.41666666666666674,-0.9833333333333333,0.715299227753066,0.7151977246336465,True
BH22,0.43333333333333335,-0.9833333333333333,0.7238325511724522,0.7237129732441714,True
BH22,0.44999999999999996,-0.9833333333333333,0.7323555185782754,0.7322281787926807,True
BH22,0.46666666666666656,-0.9833333333333333,0.7408675594798455,0.7407433418379796,True
BH22,0.4833333333333334,-0.9833333333333333,0.7493671205016033,0.749258462929242,True
BH22,0.5,-0.9833333333333333,0.7578526198024654,0.7577535593375362,True
BH22,0.5166666666666666,-0.9833333333333333,0.7663203572079229,0.7661876020924516,True
BH22,0.5333333333333332,-0.9833333333333333,0.7747701299700839,0.7746216115551163,True
BH22,0.55,-0.9833333333333333,0.7831986735453416,0.783055587988035,True
BH22,0.5666666666666667,-0.9833333333333333,0.7916055637711518,0.7914895316509594,True
BH22,0.5833333333333333,-0.9833333333333333,0.7999856461976432,0.7999062049231802,True
BH22,0.6000000000000001,-0.9833333333333333,0.8083400555776526,0.8082069712527458,True
BH22,0.6166666666666667,-0.9833333333333333,0.816666972765132,0.8165077336391686,True
BH22,0.6333333333333333,-0.9833333333333333,0.8249617261634734,0.8248084920881322,True
BH22,0.6499999999999999,-0.9833333333333333,0.833226345944456,0.8331092466053097,True
BH22,0.6666666666666667,-0.9833333333333333,0.841459438808962,0.8414031077907426,True
BH22,0.6833333333333333,-0.9833333333333333,0.849656972198664,0.8495364035239688,True
BH22,0.7,-0.9833333333333333,0.8578220946260009,0.8576696960414476,True
BH22,0.7166666666666666,-0.9833333333333333,0.8659537056142133,0.8658029853105229,True
BH22,0.7333333333333334,-0.9833333333333333,0.8740493339325879,0.873936271298095,True
BH22,0.75,-0.9833333333333333,0.8821127386954455,0.8820695539706129,True
BH22,0.7666666666666666,-0.9833333333333333,0.8901430608926381,0.8900463090085526,True
BH22,0.7833333333333332,-0.9833333333333333,0.8981399083030095,0.8980148530189618,True
BH22,0.8,-0.9833333333333333,0.9061071279999784,0.9059833496390048,True
BH22,0.8166666666666667,-0.9833333333333333,0.9140442461368771,0.9139517981366918,True
BH22,0.8333333333333333,-0.9833333333333333,0.9219528219052466,0.9219201977648881,True
BH22,0.8499999999999999,-0.9833333333333333,0.9298364890151957,0.929769199091898,True
BH22,0.8666666666666667,-0.9833333333333333,0.9376953323932702,0.9376104797853724,True
BH22,0.8833333333333333,-0.9833333333333333,0.9455323629618324,0.9454517329017971,True
BH22,0.8999999999999999,-0.9833333333333333,0.9533508549498477,0.9532929582742738,True
BH22,0.9166666666666667,-0.9833333333333333,0.9611516417294356,0.9611341557345539,True
BH22,0.9333333333333333,-0.9833333333333333,0.9689384916109279,0.9689098196877689,True
BH22,0.95,-0.9833333333333333,0.9767143007859734,0.9766823339646925,True
BH22,0.9666666666666666,-0.9833333333333333,0.9844808509416211,0.9844548688288919,True
BH22,0.9833333333333334,-0.9833333333333333,0.9922418835328921,0.9922274242004844,True
BH22,1.0,-0.9833333333333333,1.0,0.9999999999999999,True
BH22,-1.0,-0.9666666666666667,1.2279491490844131e-17,1.3993535848491035e-16,True
BH22,-0.9833333333333333,-0.9666666666666667,0.007753774123326074,0.007770678031486817,True
BH22,-0.9666666666666667,-0.9666666666666667,0.015510440626210945,0.015541372726188017,True
BH22,-0.95,-0.9666666666666667,0.023272900955810232,0.02331208404682815,True
BH22,-0.9333333333333333,-0.9666666666666667,0.031044428820801623,0.03108281195624253,True
BH22,-0.9166666666666666,-0.9666666666666667,0.03882681126984851,0.03885355641737735,True
BH22,-0.9,-0.9666666666666667,0.04662446499893023,0.046683062616146825,True
BH22,-0.8833333333333333,-0.9666666666666667,0.05443864285727449,0.0545303963510074,True
BH22,-0.8666666666666667,-0.9666666666666667,0.062271920575353634,0.06237778000951297,True
BH22,-0.85,-0.9666666666666667,0.07012836851765647,0.0702252131994349,True
BH22,-0.8333333333333334,-0.9666666666666667,0.07800768094285823,0.07807269553264312,True
