dataset,sample,poisson_ratio,matrix_error,action_error,rayleigh_error,rigid_residual,affine_residual,symmetry_residual,psd_violation,modal_share_1,modal_share_2,modal_share_3,modal_share_4,modal_share_5
parameter hold-out,13,0.32,0.00014230032386799497,0.00015679235428280248,0.0006885576574892037,1.7916350441707185e-16,2.8359949611307762e-08,0.0,0.0,0.9882745701385082,0.974813086152045,0.018599968021830542,0.01591241245726485,0.002438533087153418
parameter hold-out,14,0.36,0.00014132645626642614,0.0001479682070342176,0.0007519007411451999,1.6388416415855903e-16,2.669046017270137e-08,0.0,0.0,0.9873136329192979,0.9591475511935351,0.030689518466616796,0.021088199235727183,0.0018284560340603151
parameter hold-out,15,0.40,9.760287075563209e-05,0.00010010725938515745,0.0006475230577697206,1.6279455852907247e-16,2.8088014915436725e-08,0.0,0.0,0.9858372031569146,0.9101412877439955,0.06857949341014523,0.03428545544249874,0.001269717053106929
parameter hold-out,16,0.44,2.740462914396662e-05,2.323223936313124e-05,0.000319549540059899,2.2985428120343216e-16,2.3319603338353242e-08,0.0,0.0,0.983420437212607,0.6287387859811846,0.28777969142570836,0.09941398722535431,0.0007503210730208632
parameter hold-out,17,0.46,3.0513434153833744e-05,2.4036637568638995e-05,0.0004858146562313737,1.7135093748176917e-16,2.653232416883226e-08,0.0,0.0,0.9815094897047956,0.45360328427471913,0.28848060453320246,0.2758359945109545,0.0005001895290215413
parameter hold-out,18,0.48,9.128387916820859e-06,7.893695561117936e-06,0.0002910229369326476,4.66037985798735e-16,2.6881436230567594e-08,0.0,0.0,0.978626651414028,0.7383254815219616,0.1898308761002306,0.09295580077215879,0.00025208523527764316
parameter hold-out,19,0.49,4.607707766345389e-06,3.7658664398368793e-06,0.00021652646955919088,2.5680056891551865e-16,2.4672876962568343e-08,0.0,0.0,0.9763030661202118,0.868159583288147,0.09756698574711596,0.0578732130405973,0.00012731847699918382
parameter hold-out,20,0.20,0.0003207786770525853,0.00038748415272772105,0.0015061696951443044,1.1105677276258632e-16,2.3584844123747813e-08,0.0,0.0,0.9441518756601185,0.8348534323680712,0.11826437728174405,0.07496684458227015,0.027560858676043052
parameter hold-out,21,0.24,0.00023642497453462406,0.00021728537337651458,0.000967936297495392,9.705902615543247e-17,1.8976188445846675e-08,0.0,0.0,0.9408548151344119,0.8295799151580014,0.13219613480702339,0.07332905162302097,0.024109596655461144
parameter hold-out,22,0.28,0.00014220766630344543,0.00015417304750604824,0.0007069425306035557,1.3275827504560124e-16,2.5103523895633353e-08,0.0,0.0,0.9368649085893509,0.8179481718970212,0.15130784378157583,0.0735421231836677,0.020477969542947602
parameter hold-out,23,0.32,7.983333438662365e-05,7.484010229090288e-05,0.000335590639466703,1.6535003912372261e-16,3.549224145971746e-08,0.0,0.0,0.9319141564657439,0.7968898061017313,0.17887767980654007,0.07563164128217974,0.016762344171933535
parameter hold-out,24,0.36,5.313305625623944e-05,5.180969236641998e-05,0.00041568449831763226,1.3217254613577264e-16,3.157415018904895e-08,0.0,0.0,0.9255444317701428,0.7603409753840725,0.22122139116666556,0.07984893892750089,0.013038631644689117
