x,y,valid,reference_displacement,operator_displacement,reference_mises,operator_mises
-1.0,-1.0,True,4.123347479539592e-20,8.359127487570122e-20,243.96503696235544,165.88533593315987
-0.9833333333333333,-1.0,True,2.682319780461399e-05,1.8125930544351156e-05,240.7199081741436,165.01181446960285
-0.9666666666666667,-1.0,True,4.608653153600267e-05,3.625186108870201e-05,171.06123693473967,165.22649513561112
-0.95,-1.0,True,6.211819657533608e-05,5.437779163305345e-05,146.05475371951255,166.55029563462426
-0.9333333333333333,-1.0,True,7.645546750361873e-05,7.250372217740434e-05,135.14996189056632,168.98248919304197
-0.9166666666666666,-1.0,True,8.967835486596897e-05,8.816582778891307e-05,128.29312471453562,128.94417763924895
-0.9,-1.0,True,0.00010214088296734253,9.991617268860994e-05,123.83424672815684,127.58498206362786
-0.8833333333333333,-1.0,True,0.00011404303085069982,0.00011169936354737702,120.67129569206932,126.22948340813257
-0.8666666666666667,-1.0,True,0.0001254898821955369,0.00012350599963625736,120.08259835180883,124.87834128933535
-0.85,-1.0,True,0.00013659557353850173,0.00013532994477397236,117.89547311177476,123.53225708246595
-0.8333333333333334,-1.0,True,0.0001474565357700857,0.00014621416780966862,116.24021532864967,114.3311147785404
-0.8166666666666667,-1.0,True,0.0001581185685024573,0.00015682447090176744,114.9552778534814,114.41644036850046
-0.8,-1.0,True,0.00016861812428012598,0.00016744463693262567,113.9301506897474,114.50710878300293
-0.7833333333333333,-1.0,True,0.0001789843303780946,0.0001780729012508993,113.08836172047214,114.603213604514
-0.7666666666666666,-1.0,True,0.00018924054091152987,0.0001886178255216769,112.37428188639515,112.31384527955808
-0.75,-1.0,True,0.00019940547512687856,0.00019867603054712934,111.74728081961321,112.10397310430109
-0.7333333333333334,-1.0,True,0.00020948172228591066,0.00020874373831519463,111.59057461208326,111.894578116404
-0.7166666666666667,-1.0,True,0.00021949755773680916,0.00021881963719017886,111.02968463217451,111.6856886753997
-0.7,-1.0,True,0.00022946083214892715,0.00022890264549952453,110.4926379298663,111.47733385547836
-0.6833333333333333,-1.0,True,0.00023937756142418439,0.00023885210645867972,109.95975979998379,109.4574175585291
-0.6666666666666667,-1.0,True,0.0002492521936458194,0.0002486874423025093,109.41572600232789,109.3374459596712
-0.65,-1.0,True,0.00025908778942777404,0.00025852785648514923,108.84694739871608,109.2174353659046
-0.6333333333333333,-1.0,True,0.0002688861497993979,0.00026837279038545344,108.242542685896,109.0973900333711
-0.6166666666666667,-1.0,True,0.00027864426149067155,0.00027822176421044004,108.09793934238265,108.97731430622272
-0.6,-1.0,True,0.0002883613897393587,0.0002878795104816904,107.44028234985002,106.73587951389634
-0.5833333333333333,-1.0,True,0.0002980394085744391,0.00029752376419160497,106.7289886596326,106.57401987163378
-0.5666666666666667,-1.0,True,0.0003076757618613937,0.00030717048418098025,105.95791944820178,106.41218701400959
-0.55,-1.0,True,0.0003172672433998336,0.00031681944516535914,105.12259238999042,106.2503841335099
-0.5333333333333333,-1.0,True,0.0003268100311374456,0.0003263890815897545,104.2191023250523,103.18749145886511
-0.5166666666666666,-1.0,True,0.00033629975061870594,0.00033577706170991614,103.24675819489447,102.98625685497683
-0.5,-1.0,True,0.00034573159675877244,0.0003451661138231702,102.2038671378437,102.7859510241228
-0.4833333333333334,-1.0,True,0.00035508713736974386,0.0003545561527667202,101.96818507734262,102.58657782184537
-0.4666666666666667,-1.0,True,0.0003643711365800276,0.00036394710215825244,100.83799418350063,102.38814111024104
-0.44999999999999996,-1.0,True,0.00037357722755981755,0.00037307088574767646,99.63722017086928,98.36692331569664
-0.43333333333333335,-1.0,True,0.000382698917520971,0.0003820760239156887,98.3716684425208,98.11301141369452
-0.41666666666666663,-1.0,True,0.0003917295342800868,0.0003910815432925374,97.04396398467489,97.86296939122977
-0.4,-1.0,True,0.0004006622464249766,0.0004000874181364726,95.65949444879469,97.61677217674188
-0.3833333333333333,-1.0,True,0.00040949011421164273,0.00040905121905258354,94.22260736224155,92.81226641709624
-0.3666666666666667,-1.0,True,0.0004181949832913548,0.0004175064196298447,93.8875582982466,92.47890628013987
-0.35,-1.0,True,0.0004267676907773339,0.0004259618409257491,92.39559865807956,92.15721413729958
-0.33333333333333337,-1.0,True,0.0004352118079574955,0.0004344174700522163,90.87116809829271,91.84694370645946
-0.31666666666666665,-1.0,True,0.0004435208559465824,0.00044287329510513216,89.32469345848733,91.54785263500217
-0.30000000000000004,-1.0,True,0.0004516887425081073,0.0004510200287221436,87.76672236377888,86.58241089712699
-0.2833333333333333,-1.0,True,0.00045970960936029057,0.00045880626880831846,86.20529577361688,86.26656506506171
