id,method,field_relative_l2,flux_relative_error,stable
H01,Analytical only,2.2662517611382925e+42,1.842117934445121e+71,True
H01,No projection,0.023357545310565643,0.1284689374818439,True
H01,Full BNEM,0.0004422358385576137,0.0002976338777575218,True
H02,Analytical only,1.2151348015810796e+45,3.753693716667891e+77,True
H02,No projection,0.026271670844088844,0.10278805669786138,True
H02,Full BNEM,0.0010170433287293723,0.0005789594117148762,True
H03,Analytical only,5.559487961738961e+47,1.670935169657598e+82,True
H03,No projection,0.02316534310144451,0.12112737159736651,True
H03,Full BNEM,0.0003095725730774128,0.0003125322700932254,True
H04,Analytical only,9.325511649364063e+50,9.458627703725226e+88,True
H04,No projection,0.020371343082014336,0.08633332429969197,True
H04,Full BNEM,0.000258453805075519,0.0003151421433674454,True
H05,Analytical only,6.213989985672269e+74,5.402650327722648e+136,True
H05,No projection,0.022939263168861794,0.14787125123626949,True
H05,Full BNEM,0.0003231649448070588,0.0003213393433932423,True
H06,Analytical only,7.3620792384138905e+34,3.813477148430695e+56,True
H06,No projection,0.02888808801440198,0.1291603435779241,True
H06,Full BNEM,0.0003994826928445649,0.0004170110154076598,True
H07,Analytical only,3.439976551147931e+70,6.575466243472535e+128,True
H07,No projection,0.01843798852399637,0.09459270308626995,True
H07,Full BNEM,0.00035407583758935787,0.00025863722763624274,True
H08,Analytical only,6.322443621864368e+41,1.9202738655652984e+70,True
H08,No projection,0.017337127325181848,0.08420737123428963,True
H08,Full BNEM,0.0004205034586069415,0.000327769375242948,True
H09,Analytical only,5.863449533758784e+61,1.0814428672816109e+110,True
H09,No projection,0.037835161430092815,0.15763186076320332,True
H09,Full BNEM,0.000704603765906609,0.0004440284443573214,True
H10,Analytical only,2.3099985803573254e+44,2.7771974345292563e+76,True
H10,No projection,0.018557768298947713,0.08747017709215713,True
H10,Full BNEM,0.0003495283095022568,0.00026679805085773724,True
H11,Analytical only,3.252613485272572e+59,6.041102536810472e+106,True
H11,No projection,0.03112170812824977,0.37021688465149405,True
H11,Full BNEM,0.00037055138454358686,0.0018584009412716384,True
H12,Analytical only,2.9766843388934676e+62,8.896687521160607e+112,True
H12,No projection,0.03140172218167106,0.18771468305952077,True
H12,Full BNEM,0.0002811616783178124,0.0006925075050303163,True
H13,Analytical only,1.2864071142836888e+40,2.827218440827599e+66,True
H13,No projection,0.06320118750493534,0.5995239592097722,True
H13,Full BNEM,0.0007328106956910912,0.0035006092029110313,True
H14,Analytical only,8.984391547106544e+38,8.497059701610051e+64,True
H14,No projection,0.02584887428577709,0.1550505425972102,True
H14,Full BNEM,0.00047935045766386673,0.0014161095980496595,True
H15,Analytical only,6.878346471419915e+30,1.285412354145457e+50,True
H15,No projection,0.027765614788429958,0.2905013745641188,True
H15,Full BNEM,0.0006832314992300741,0.002357485775126346,True
H16,Analytical only,2.0004945285411037e+78,2.8124698015708616e+143,True
H16,No projection,0.06782307741596118,0.5645172161061648,True
H16,Full BNEM,0.0007622206056660428,0.003054017560074245,True
H17,Analytical only,1.0541189266071973e+32,2.329050971087224e+51,True
H17,No projection,0.08269206558452333,1.1315586028763402,True
H17,Full BNEM,0.0006062587104004456,0.0026029085524144776,True
H18,Analytical only,1.1497256987656652e+79,3.781617224299959e+145,True
H18,No projection,0.05978943781675923,0.8420548194577625,True
H18,Full BNEM,0.0004861777201100913,0.0024490071506930787,True
H19,Analytical only,3.571568214941395e+46,5.4714039511053497e+79,True
H19,No projection,0.05084090560582275,0.7050852404395559,True
H19,Full BNEM,0.002068971773633575,0.0034506416380514285,True
H20,Analytical only,1.511001052313032e+45,4.759883803135837e+77,True
H20,No projection,0.023189202480687527,0.1985494090613295,True
H20,Full BNEM,0.001690110321228995,0.0031974236146287915,True
H21,Analytical only,2.7519569878649145e+51,4.028281163052426e+94,True
H21,No projection,0.08452184697757056,0.324208057592149,True
H21,Full BNEM,0.0009842026905560876,0.004352060278808955,True
H22,Analytical only,2.6574132631534772e+57,4.099867816880004e+102,True
H22,No projection,0.0911342130808898,0.4279443463959452,True
H22,Full BNEM,0.0008296301583910318,0.004918436464441568,True
H23,Analytical only,8.741955092673815e+55,2.236231917930457e+102,True
H23,No projection,0.16899105895748473,0.751031188101333,True
H23,Full BNEM,0.0014614745129975196,0.007979879660158663,True
H24,Analytical only,3.7586174172086937e+37,1.556103824715619e+74,True
H24,No projection,0.24495737795491343,0.8961710945985842,True
