id,source_id,source_level,level,mesh_size,elements,field_relative_l2,flux_relative_error,operator_seconds,assembly_seconds,linear_solve_seconds,normalized_elements
H18,BH18,h0.080,L1,0.08,420,0.0004894273103310072,0.0024490071509114916,0.006510399998660432,0.0066336999989289325,0.0036399000018718652,0.1477832512315271
H18,BH18,h0.056,L2,0.056,772,0.00025352574864700246,0.0012361637361505105,0.11137450000023819,0.012575900000229012,0.00958840000021155,0.2716396903589022
H18,BH18,h0.040,L3,0.04,1502,0.00013090176668410227,0.000617683744495099,0.03143219999765279,0.023232399998960318,0.019204500000341795,0.5285010555946517
H18,BH18,h0.028,L4,0.028,2842,5.906502897706411e-05,0.0002591068980205753,0.05704150000019581,0.045463499998732004,0.04077580000011949,1.0
H19,BH19,h0.080,L1,0.08,504,0.002244454367428417,0.0034506416103587214,0.009001400001579896,0.00795760000255541,0.004619800001819385,0.14507772020725387
H19,BH19,h0.056,L2,0.056,945,0.0012676849547110804,0.0020214282838970686,0.016890800001419848,0.014845699999568751,0.00942399999985355,0.27202072538860106
H19,BH19,h0.040,L3,0.04,1753,0.0007789561982382771,0.00116353763844478,0.034481399998185225,0.027382799999031704,0.020953200000803918,0.5046056419113414
H19,BH19,h0.028,L4,0.028,3474,0.00023344839108673996,0.0003746857076895694,0.06850339999800781,0.05501019999792334,0.04461859999719309,1.0
H20,BH20,h0.080,L1,0.08,513,0.0016279228910020184,0.0031974236189948966,0.010135600001376588,0.007878300002630567,0.004783000000315951,0.12313970235237638
H20,BH20,h0.056,L2,0.056,942,0.000982324599814628,0.002014693042428012,0.016663500002323417,0.015422499996930128,0.00925439999991795,0.22611617858857416
H20,BH20,h0.040,L3,0.04,2015,0.0005525975434014235,0.0009992412462497759,0.039920200000779005,0.03267549999873154,0.02505350000137696,0.48367738838214114
H20,BH20,h0.028,L4,0.028,4166,0.00033929711548011285,0.0005619857789842433,0.08394860000043991,0.06672419999813428,0.06924369999978808,1.0
H21,BH21,h0.080,L1,0.08,574,0.001011184072443867,0.004352060276899812,0.008798899998510024,0.00896419999844511,0.0058547000007820316,0.14289270599950213
H21,BH21,h0.056,L2,0.056,1036,0.000643677922462955,0.0027895087654558814,0.020423400001163827,0.01674559999810299,0.01249169999937294,0.2579039083893453
H21,BH21,h0.040,L3,0.04,1889,0.0003563845595121224,0.0016129514242349803,0.04378259999793954,0.031057299998792587,0.029947700000775512,0.47025143141647996
H21,BH21,h0.028,L4,0.028,4017,0.00015343674039205234,0.000652563895366497,0.0782589000009466,0.0649331999993592,0.07570330000089598,1.0
H22,BH22,h0.080,L1,0.08,561,0.0008977628847974095,0.004918436459723746,0.0086738999998488,0.00889390000156709,0.005732600002374966,0.12689436779009275
H22,BH22,h0.056,L2,0.056,1071,0.0005004461626419224,0.0031518132270117426,0.01917709999906947,0.01706500000000233,0.011858199999551289,0.24225288396290431
H22,BH22,h0.040,L3,0.04,2003,0.0003365642596464038,0.0018240192286012695,0.04116240000075777,0.032463600000482984,0.025108400001045084,0.45306491743949334
H22,BH22,h0.028,L4,0.028,4421,0.0001338563584949989,0.0007394116401345833,0.08954610000000685,0.07125420000011218,0.07668349999948987,1.0
H23,BH23,h0.080,L1,0.08,700,0.0014291540701691127,0.00797987967439956,0.10378510000009555,0.010584699997707503,0.00879979999808711,0.17430278884462153
H23,BH23,h0.056,L2,0.056,1112,0.0011069718139731565,0.006409673724060443,0.020494199998211116,0.018253499998536427,0.01314510000156588,0.27689243027888444
H23,BH23,h0.040,L3,0.04,2165,0.0006149417698491538,0.003448026186178227,0.04373009999835631,0.034285400000953814,0.03227310000147554,0.539093625498008
H23,BH23,h0.028,L4,0.028,4016,0.00024173385443882405,0.0013411130537018168,0.07993680000072345,0.06494930000189925,0.062426499996945495,1.0
H24,BH24,h0.080,L1,0.08,822,0.0006433093688776196,0.0030728966099631645,0.10985750000327243,0.012855199998739408,0.008125099997414509,0.20176730486008837
H24,BH24,h0.056,L2,0.056,1203,0.0005523673809579943,0.0030675888425279784,0.020350999999209307,0.01886170000216225,0.015254300000378862,0.29528718703976436
H24,BH24,h0.040,L3,0.04,2147,0.0003175760233077646,0.0019286997537443231,0.0437391999985266,0.03411710000000312,0.0274686999982805,0.5270004909180167
H24,BH24,h0.028,L4,0.028,4074,0.00016295665388272844,0.0008566180734137302,0.07947779999813065,0.06370519999836688,0.07175339999957941,1.0
